2018rank,City,State[c],2018estimate,2010Census,Change,2016 land area sq mi,2016 land area sq km,2016 population density per sq mi,2016 population density per sq km,Location,Short_Description_of_City,zip-codes
36,Sacramento, California,"508,529","466,488",+9.01%,97.9 sq mi,253.6 km2,"5,059/sq mi","1,953/km2",38°34′00″N 121°28′07″W﻿ / ﻿38.5666°N 121.4686°W﻿ / 38.5666; -121.4686﻿ (Sacramento),"Sacramento ) is the capital city of the U.S. state of California and the seat of Sacramento County. Located at the confluence of the Sacramento River and the American River in Northern California's Sacramento Valley, Sacramento's estimated 2018 population of 501,334 makes it the sixth-largest city in California and the ninth largest capital in the United States. Sacramento is the seat of the California Legislature and the Governor of California, making it the state's political center and a hub for lobbying and think tanks. Sacramento is also the cultural and economic core of the Sacramento metropolitan area, which had 2010 population of 2,414,783, making it the fifth largest in California.","942xx, 958xx"
37,Atlanta, Georgia,"498,044","420,003",+18.58%,133.5 sq mi,345.8 km2,"3,539/sq mi","1,366/km2",33°45′46″N 84°25′22″W﻿ / ﻿33.7629°N 84.4227°W﻿ / 33.7629; -84.4227﻿ (Atlanta),"Atlanta  is the capital and most populous city in the U.S. state of Georgia. With an estimated 2017 population of 486,290, it is also the 38th most-populous city in the United States. The city serves as the cultural and economic center of the Atlanta metropolitan area, home to 5.8 million people and the ninth-largest metropolitan area in the nation. Atlanta is the seat of Fulton County, the most populous county in Georgia.  A small portion of the city extends eastward into neighboring DeKalb County.","30060, 30301–30322, 30324–30334, 30336–30350, 30340, 30353, 30363"
38,Kansas City, Missouri,"491,918","459,787",+6.99%,315.0 sq mi,815.8 km2,"1,528/sq mi",590/km2,"39°07′30″N 94°33′04″W﻿ / ﻿39.1251°N 94.5510°W﻿ / 39.1251; -94.5510﻿ (Kansas City, MO)","Kansas City is the largest city in the U.S. state of Missouri. According to the U.S. Census Bureau, the city had an estimated population of 488,943 in 2017, making it the 37th most-populous city in the United States. It is the central city of the Kansas City metropolitan area, which straddles the Kansas–Missouri state line. Kansas City was founded in the 1830s as a Missouri River port at its confluence with the Kansas River coming in from the west. On June 1, 1850 the town of Kansas was incorporated; shortly after came the establishment of the Kansas Territory. Confusion between the two ensued and the name Kansas City was assigned to distinguish them soon after.","6410164102, 6410564106, 6410864114, 6411664121, 6412364134, 6413664139, 64141, 6414464149, 6415164158, 64161, 6416364168, 6417064172, 6417964180, 6418364184, 6418764188, 6419064193, 6419564199, 64999"
39,Colorado Springs, Colorado,"472,688","416,427",+13.51%,195.6 sq mi,506.6 km2,"2,378/sq mi",918/km2,38°52′02″N 104°45′39″W﻿ / ﻿38.8673°N 104.7607°W﻿ / 38.8673; -104.7607﻿ (Colorado Springs),"Colorado Springs is a home rule municipality that is the largest city by area in Colorado as well as the county seat and the most populous municipality of El Paso County, Colorado, United States. Colorado Springs is located in the east central portion of the state. It is situated on Fountain Creek and is located 60 miles  south of the Colorado State Capitol in Denver.","80901–80951, 80960, 80962, 80970, 80977, 80995, 80997"
40,Miami, Florida,"470,914","399,457",+17.89%,36.0 sq mi,93.2 km2,"12,599/sq mi","4,865/km2",25°46′31″N 80°12′31″W﻿ / ﻿25.7752°N 80.2086°W﻿ / 25.7752; -80.2086﻿ (Miami),"Miami is a major center, and a leader in finance, commerce, culture, media, entertainment, the arts, and international trade. The Miami Metropolitan Area is by far the largest urban economy in Florida and the 12th largest in the United States with a GDP of $344.9 billion as of 2017. In 2012, Miami was classified as an Alpha − level world city in the World Cities Study Group's inventory. In 2010, Miami ranked seventh in the United States and 33rd among global cities in terms of business activity, human capital, information exchange, cultural experience, and political engagement. In 2008, Forbes magazine ranked Miami ""America's Cleanest City"", for its year-round good air quality, vast green spaces, clean drinking water, clean streets, and citywide recycling programs. According to a 2009 UBS study of 73 world cities, Miami was ranked as the richest city in the United States, and the world's seventh-richest city in terms of purchasing power. Miami is nicknamed the ""Capital of Latin America"" and is the largest city with a Cuban-American plurality.",33010–33299
41,Raleigh, North Carolina,"469,298","403,892",+16.19%,145.1 sq mi,375.8 km2,"3,163/sq mi","1,221/km2",35°49′50″N 78°38′30″W﻿ / ﻿35.8306°N 78.6418°W﻿ / 35.8306; -78.6418﻿ (Raleigh),"Raleigh  is the capital of the state of North Carolina and the seat of Wake County in the United States. Raleigh is the second-largest city in the state, after Charlotte. Raleigh is known as the ""City of Oaks"" for its many oak trees, which line the streets in the heart of the city. The city covers a land area of 142.8 square miles . The U.S. Census Bureau estimated the city's population as 479,332 as of July 1, 2018. It is one of the fastest-growing cities in the country. The city of Raleigh is named after Sir Walter Raleigh, who established the lost Roanoke Colony in present-day Dare County.","27601, 27603, 27604, 27605, 27606, 27607, 27608, 27609, 27610, 27612, 27613, 27614, 27615, 27616, 27617"
42,Omaha, Nebraska,"468,262","408,958",+14.50%,133.2 sq mi,345.0 km2,"3,356/sq mi","1,296/km2",41°15′52″N 96°02′42″W﻿ / ﻿41.2644°N 96.0451°W﻿ / 41.2644; -96.0451﻿ (Omaha),"Omaha  is the largest city in the state of Nebraska and the county seat of Douglas County. Omaha is in the Midwestern United States on the Missouri River, about 10 miles  north of the mouth of the Platte River. The nation's 40th-largest city, Omaha's 2018 estimated population was 466,061. ","68022, 68101–68164"
43,Long Beach, California,"467,354","462,257",+1.10%,50.3 sq mi,130.3 km2,"9,347/sq mi","3,609/km2",33°48′33″N 118°09′19″W﻿ / ﻿33.8092°N 118.1553°W﻿ / 33.8092; -118.1553﻿ (Long Beach),"Long Beach is a city on the Pacific Coast of the United States, within the Los Angeles metropolitan area of Southern California. It is the 39th most populous city in the United States and the 7th most populous in California, with a population of 462,257 in 2010. It is the second largest city in the Los Angeles metropolitan area, the third in Southern California behind Los Angeles and San Diego. Long Beach is a charter city.","90801–90810, 90813–90815, 90822, 90831–90835, 90840, 90842, 90844, 90846–90848, 90853, 90895, 90899"
44,Virginia Beach[m], Virginia,"450,189","437,994",+2.78%,244.7 sq mi,633.8 km2,"1,850/sq mi",710/km2,36°46′48″N 76°01′31″W﻿ / ﻿36.7800°N 76.0252°W﻿ / 36.7800; -76.0252﻿ (Virginia Beach),"Virginia Beach is an independent city located on the southeastern coast of the Commonwealth of Virginia in the United States. As of the 2010 census, the population was 437,994. In 2015, the population was estimated to be 452,745. In 2018 the estimated population was 450,138. Although mostly suburban in character, it is the most populous city in Virginia and the 44th most populous city in the nation. Located on the Atlantic Ocean at the mouth of the Chesapeake Bay, Virginia Beach is included in the Hampton Roads metropolitan area. This area, known as ""America's First Region"", also includes the independent cities of Chesapeake, Hampton, Newport News, Norfolk, Portsmouth, and Suffolk, as well as other smaller cities, counties, and towns of Hampton Roads.",
45,Oakland, California,"429,082","390,724",+9.82%,55.9 sq mi,144.8 km2,"7,514/sq mi","2,901/km2",37°46′11″N 122°13′33″W﻿ / ﻿37.7698°N 122.2257°W﻿ / 37.7698; -122.2257﻿ (Oakland),"Oakland is the largest city and the county seat of Alameda County, California, United States. A major West Coast port city, Oakland is the largest city in the East Bay region of the San Francisco Bay Area, the third largest city overall in the San Francisco Bay Area, the eighth most populated city in California, and the 45th largest city in the United States. With a population of 432,897 as of 2019, it serves as a trade center for the San Francisco Bay Area; its Port of Oakland is the busiest port in the San Francisco Bay, the entirety of Northern California, and the fifth busiest in the United States of America. An act to incorporate the city was passed on May 4, 1852, and incorporation was later approved on March 25, 1854, which officially made Oakland a city. Oakland is a charter city.","94601–94615, 94617–94624, 94649, 94659–94662, 94666"
46,Minneapolis, Minnesota,"425,403","382,578",+11.19%,54.0 sq mi,139.9 km2,"7,660/sq mi","2,960/km2",44°57′48″N 93°16′06″W﻿ / ﻿44.9633°N 93.2683°W﻿ / 44.9633; -93.2683﻿ (Minneapolis),"Minneapolis ) is the county seat of Hennepin County and the larger of the Twin Cities, the 16th-largest metropolitan area in the United States. As of 2017, Minneapolis is the largest city in the state of Minnesota and 45th-largest in the United States, with an estimated population of 422,331. The Twin Cities metropolitan area consists of Minneapolis, its neighbor Saint Paul, and suburbs which altogether contain about 3.6 million people, and is the third-largest economic center in the Midwest.",55401–55488 
47,Tulsa, Oklahoma,"400,669","391,906",+2.24%,196.8 sq mi,509.7 km2,"2,048/sq mi",791/km2,36°07′40″N 95°54′08″W﻿ / ﻿36.1279°N 95.9023°W﻿ / 36.1279; -95.9023﻿ (Tulsa),"Tulsa /ˈtʌlsə/ is the second-largest city in the state of Oklahoma and 45th-most populous city in the United States. As of July 2016, the population was 413,505, an increase of 12,591 over that reported in the 2010 Census. It is the principal municipality of the Tulsa Metropolitan Area, a region with 991,005 residents in the MSA and 1,251,172 in the CSA. The city serves as the county seat of Tulsa County, the most densely populated county in Oklahoma, with urban development extending into Osage, Rogers, and Wagoner counties."," 74101–74108, 74110, 74112, 74114–74117, 74119–74121, 74126, 74127–74137, 74141, 74145–74150, 74152–74153, 74155–74159, 74169–74172, 74182, 74186–74187, 74192–74193"
48,Arlington, Texas,"398,112","365,438",+8.94%,95.8 sq mi,248.1 km2,"4,100/sq mi","1,600/km2",32°42′03″N 97°07′29″W﻿ / ﻿32.7007°N 97.1247°W﻿ / 32.7007; -97.1247﻿ (Arlington),"According to the U.S. Census Bureau's estimate, the city had a population of 396,394 in 2017, making it the second-largest city in the county  and the third-largest in the metropolitan area. Arlington is the forty-eighth-most populous city in the United States, the seventh-most populous city in the state of Texas, and the largest city in the state that is not a county seat.",7600076099 
49,Tampa, Florida,"392,890","335,709",+17.03%,113.4 sq mi,293.7 km2,"3,326/sq mi","1,284/km2",27°58′12″N 82°28′47″W﻿ / ﻿27.9701°N 82.4797°W﻿ / 27.9701; -82.4797﻿ (Tampa),"Tampa is a major city in, and the county seat of, Hillsborough County, Florida, United States. It is on the west coast of Florida on Tampa Bay, near the Gulf of Mexico, and is the largest city in the Tampa Bay Area. The bay's port is the largest in the state, near downtown's Channel District. Bayshore Boulevard runs along the bay, and is east of the historic Hyde Park neighborhood.","33601–33626, 33629–33631, 33633–33635, 33637, 33646, 33647, 33650, 33655, 33660–33664, 33672–33675, 33677, 33679–33682, 33684–33689, 33694"
